Name,OrderNumber,Disabled,ParagonSeason,VisibleOnlyInMatchingSeason,DungeonSet,DifficultyTrack,MonsterDifficulty,SceneType,TimeInSeconds,DungeonNeedToKillAllMonsters,DefendFriendliesTID,XpLevelReg,ParagonLevelReg,EstimatedXpLevelReg,PvpXpLevelCap,GearScore,TID,Music,AmbientSound,SceneJSON,DefaultEnvironmentalEffect,IconAsset,WorldType,PlayerCount,RespawnSeconds,DungeonDrop,DungeonDropMultiplier,AmbushType,SummonEliteChanceNormal,SummonEliteChanceStrong,SummonEliteChanceBoss,AverageBotXPLevelNormal,AverageBotGearLevelNormal,BotPowerGemLevelForOfflineDungeon,AverageBotXPLevelHard,AverageBotGearLevelHard,AverageBotXPLevelVeryHard,AverageBotGearLevelVeryHard,BotBoost,SummonCanBeElite,BluePrintPointsFromNormal,BluePrintPointsFromStrong,BluePrintPointsFromBoss,BluePrintPointsForFirstDrop,BluePrintPointsForSecondDrop,BluePrintPointsForThirdDrop,BluePrintPointsForFourthDrop,DungeonAndQuestAndPvpCompletedLootProfile,BossHealthBoostPercent,PvpEnemy1,PvpEnemy1Points,PvpEnemy2,PvpEnemy2Points,PvpEnemy3,PvpEnemy3Points,PvpEnemy4,PvpEnemy4Points,PvpEnemy5,PvpEnemy5Points,PvpEnemy6,PvpEnemy6Points,PvpEnemy7,PvpEnemy7Points,PvpEnemy8,PvpEnemy8Points,SkinDrop,RandomEventLevel,RandomEvent1,RandomEvent1Chance,RandomEvent2,RandomEvent2Chance,RandomEvent3,RandomEvent3Chance,RandomEvent4,RandomEvent4Chance,RandomEvent5,RandomEvent5Chance,RandomEvent6,RandomEvent6Chance,SmallEnemyDamageAndHealingIncreasePercent,SmallEnemyHealthIncreasePercent,SmallEnemyLootIncreasePercent,LargeEnemyDamageAndHealingIncreasePercent,LargeEnemyHealthIncreasePercent,LargeEnemyLootIncreasePercent,BossEnemyDamageAndHealingIncreasePercent,BossEnemyHealthIncreasePercent,BossEnemyLootIncreasePercent,FriendlyDamageAndHealingIncreasePercent,FriendlyHealthIncreasePercent,Modifier1,Modifier1Number,Modifier2,Modifier2Number,AreaEffect,AreaEffectChancePermilleEveryTenthOfASecond,AreaEffectRandomDistanceFromPlayer,AreaEffectMinimumDistanceFromPlayer,AreaEffectDamagesEnemies,AreaEffectActiveTimeMs,AreaEffectDownTimeMs,AreaEffectMinimumDistanceToEachOther
W01_DG02_2,15,TRUE,,,,,,Dungeon,300,,,,,27,,3700,TID_MAP_P01_DG3_2,DungeonDragonlingShrineCanyon,WindyClifftop,scene/w01_dg02.json,,sc/ui.sc#mapbg_w01_dg02,Dragonling,4,15,,,,,,,280,280,,,,,,2,,100,500,10000,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W02_DG02_2,16,TRUE,,,,,,Dungeon,300,,,,,28,,3900,TID_MAP_P01_DG4_2,DungeonBeetleTheForest,SpookyForest,scene/w02_dg02.json,,sc/ui.sc#mapbg_w02_dg02,Beetle,4,15,,,1,,,,290,290,,,,,,3,,100,500,10000,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,,,,,,,,,,,,,
W01_DG09_2,17,TRUE,,,,,,Dungeon,300,,,,,30,,4300,TID_W01_DG09_2,DungeonDarkBigPapa,EarthCityRooftopNight,scene/w00_park_dg.json,,sc/ui.sc#mapbg_w01_dg03,Dragonling,4,15,,,,,,,300,300,,,,,,4,,100,500,10000,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,150,150,,150,150,,,200,,,,,,,,,,,,
W01_OA03,,,1,,,,,OpenWorld,,,,,,12,,1600,TID_AREA4,OpenWorldDragonlingCaveOfSpirits,GrassyPlains,scene/w01_oa03_2.json,,sc/ui.sc#mapbg_w01_oa03,Dragonling,28,10,,,,,,,145,145,,,,,,,,30,150,2000,11433,34299,57165,,,,,,,,,,,,,,,,,,,,,12,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,ProtectNpcEvent,500,PrisonEvent,1000,InvasionPortalEvent_W01_OA03,300,,,,,,,,,,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W02_OA02,1,,1,,,,,OpenWorld,,,,16,,16,,1950,TID_MAP_BEETLE_OA2,OpenWorldBeetleOuterWorlds,SpookyForest,scene/w02_oa02.json,,sc/ui.sc#mapbg_w02_oa02,Beetle,28,10,,,1,,,,185,185,,,,,,,,30,150,2000,21887,65661,109435,,,,,,,,,,,,,,,,,,,,,16,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,RunningNpcEvent,500,ProtectNpcEvent,500,InvasionPortalEvent_W02_OA02,300,,,,,,,,,,,,,,,,LightningOpenWorld,80,600,,TRUE,40000,4000000,200
W01_OA04,2,,1,,,,,OpenWorld,,,,20,,20,,2400,TID_AREA5,OpenWorldDragonlingSummoningGrounds,GrassyPlainsInverted,scene/w01_oa04.json,,sc/ui.sc#mapbg_w01_oa04,Dragonling,28,10,,,,,,,235,235,,,,,,,,30,150,2000,14575,43724,72873,,,,,,,,,,,,,,,,,,,,,20,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,EscortNpcEvent,500,RunningNpcEvent,500,InvasionPortalEvent_W01_OA04,300,,,,,,,,,,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W02_OA03,3,,1,,,,,OpenWorld,,,,25,,25,,3000,TID_MAP_BEETLE_OA3,OpenWorldBeetleSewers,Sewers,scene/w02_oa03b.json,,sc/ui.sc#mapbg_w02_oa03,Beetle,28,10,,,1,,,,285,285,,,,,,,,30,150,2000,28967,,,,,,,,,,,,,,,,,,,,,,,25,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,PrisonEvent,1000,EscortNpcEvent,500,InvasionPortalEvent_W02_OA03,300,,,,,,,,,,,,,,,,PoisonOpenWorld,80,1500,800,TRUE,40000,4000000,200
W01_OA01_HARD,4,,1,TRUE,,,,OpenWorld,,,,,1,30,,4300,TID_AREA1_HARD,OpenWorldDragonlingShrineCanyon,CanyonTop,scene/w01_oa01_hard.json,,sc/ui.sc#mapbg_w01_oa01_hard,Dragonling,28,10,,,,,,,300,300,,,,,,,,30,150,2000,,,,,,,,,,,,,,,,,,,,,,,,30,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,RunningNpcEvent,500,PrisonEvent,1000,InvasionPortalEvent_W01_OA04,300,,,25,,,25,,,25,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W01_OA02_HARD,5,,1,TRUE,,,,OpenWorld,,,,,20,34,,5500,TID_AREA3_HARD,OpenWorldDragonlingOvergrownRuins,OvergrownRuins,scene/w01_oa02_v2_hard.json,,sc/ui.sc#mapbg_w01_oa02_v2_hard,Dragonling,28,10,,,,,,,300,300,,,,,,,,30,150,2000,,,,,,,,,,,,,,,,,,,,,,,,34,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,ProtectNpcEvent,500,EscortNpcEvent,500,InvasionPortalEvent_W01_OA04,300,,,50,,,50,,,50,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W02_OA01_HARD,6,,1,TRUE,,,,OpenWorld,,,,,40,38,,7000,TID_MAP_BEETLE_OA1_HARD,OpenWorldBeetleTheForest,SpookyForest,scene/w02_oa01_hard.json,,sc/ui.sc#mapbg_w02_oa01_hard,Beetle,28,10,,,1,,,,300,300,,,,,,,,30,150,2000,,,,,,,,,,,,,,,,,,,,,,,,38,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,RunningNpcEvent,500,PrisonEvent,1000,InvasionPortalEvent_W02_OA03,300,,,75,,,75,,,75,,,,,,,LightningOpenWorld,80,600,,TRUE,40000,4000000,200
W01_OA03_HARD,7,,1,TRUE,,,,OpenWorld,,,,,60,42,,8900,TID_AREA4_HARD,OpenWorldLight,GrassyPlains,scene/w01_oa03_2_hard.json,,sc/ui.sc#mapbg_w01_oa03_2_hard,Dragonling,28,10,,,,,,,300,300,,,,,,,,30,150,2000,,,,,,,,,,,,,,,,,,,,,,,,42,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,ProtectNpcEvent,500,EscortNpcEvent,500,InvasionPortalEvent_W01_OA04,300,,,100,,,100,,,100,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W02_OA02_HARD,8,,1,TRUE,,,,OpenWorld,,,,,80,46,,11400,TID_MAP_BEETLE_OA2_HARD,OpenWorldBeetleOuterWorlds,SpookyForest,scene/w02_oa02_hard.json,,sc/ui.sc#mapbg_w02_oa02_hard,Beetle,28,10,,,1,,,,300,300,,,,,,,,30,150,2000,,,,,,,,,,,,,,,,,,,,,,,,46,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,RunningNpcEvent,500,PrisonEvent,1000,InvasionPortalEvent_W02_OA03,300,,,150,,,150,,,150,,,,,,,LightningOpenWorld,80,600,,TRUE,40000,4000000,200
W01_OA04_HARD,9,,1,TRUE,,,,OpenWorld,,,,,100,50,,14500,TID_AREA5_HARD,OpenWorldLight,GrassyPlainsInverted,scene/w01_oa04_hard.json,,sc/ui.sc#mapbg_w01_oa04_hard,Dragonling,28,10,,,,,,,300,300,,,,,,,,30,150,2000,,,,,,,,,,,,,,,,,,,,,,,,50,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,ProtectNpcEvent,500,EscortNpcEvent,500,InvasionPortalEvent_W01_OA04,300,,,200,,,200,,,200,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W00_SOLO_DG_INTRO1,,,,,2,,,Dungeon,120,TRUE,,,,12,,1600,TID_W00_SOLO_DG_INTRO1,SoloDungeon01A,Warehouse,scene/w00_solo_dg_intro1.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W00_SOLO_DG_INTRO2,1,,,,2,,,Dungeon,120,TRUE,,,,13,,1800,TID_W00_SOLO_DG_INTRO2,SoloDungeon01A,Warehouse,scene/w00_solo_dg_intro2.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W00_SOLO_DG_INTRO3,2,,,,2,,,Dungeon,120,TRUE,,,,14,,2000,TID_W00_SOLO_DG_INTRO3,SoloDungeon02,Warehouse,scene/w00_solo_dg_intro3.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
W00_SOLO_DG_INTRO1_1,3,TRUE,,,2,,,Dungeon,120,TRUE,,,,15,,2100,TID_W00_SOLO_DG_INTRO1_1,SoloDungeon01A,Warehouse,scene/w00_solo_dg_intro1.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,25,25,,,,,50,125,,,,,,,,,,,,
W00_SOLO_DG_INTRO2_1,4,TRUE,,,2,,,Dungeon,120,TRUE,,,,16,,2200,TID_W00_SOLO_DG_INTRO2_1,SoloDungeon01A,Warehouse,scene/w00_solo_dg_intro2.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,25,25,,,,,50,250,,,,,,,,,,,,
W00_SOLO_DG_INTRO3_1,5,TRUE,,,2,,,Dungeon,120,TRUE,,,,17,,2300,TID_W00_SOLO_DG_INTRO3_1,SoloDungeon02,Warehouse,scene/w00_solo_dg_intro3.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,25,25,,25,25,,50,100,,,,,,,,,,,,
W00_SOLO_DG_INTRO1_2,6,TRUE,,,2,,,Dungeon,120,TRUE,,,,18,,2400,TID_W00_SOLO_DG_INTRO1_2,SoloDungeon01A,Warehouse,scene/w00_solo_dg_intro1.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,50,50,,,,,50,300,,,,,,,,,,,,
W00_SOLO_DG_INTRO2_2,7,TRUE,,,2,,,Dungeon,120,TRUE,,,,19,,2500,TID_W00_SOLO_DG_INTRO2_2,SoloDungeon01A,Warehouse,scene/w00_solo_dg_intro2.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,50,50,,,,,50,425,,,,,,,,,,,,
W00_SOLO_DG_INTRO3_2,8,TRUE,,,2,,,Dungeon,120,TRUE,,,,20,,2600,TID_W00_SOLO_DG_INTRO3_2,SoloDungeon02,Warehouse,scene/w00_solo_dg_intro3.json,,sc/ui.sc#mapbg_w00_dg01,MocoGym,1,15,,,,,,,200,200,,,,,,,,100,500,10000,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,50,50,,50,50,,50,150,,,,,,,,,,,,
CH1_DEFENSE_ARENA_01,,,1,,4,,,Arena,300,,TID_ARENA_DEFENSE_HINT,22,,20,,2502,TID_CH1_DEFENSE_ARENA_01,ArenaDungeon01B,EarthCityRooftopNight,scene/w00_park_arena.json,,sc/ui.sc#mapbg_w02_dg05,Dragonling,4,15,,,,,,,220,220,,,,,,3,,100,500,10000,,,,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH1_MONSTER_HUNT_02,1,,1,,4,,,Dungeon,300,,,,,22,,2763,TID_CH1_MONSTER_HUNT_02,DungeonDark,CanyonTop,scene/w01_ch01_monster_hunt_01.json,,sc/ui.sc#mapbg_w01_arena01,Dragonling,4,15,,,,,,,230,230,,,,,,3,,100,500,10000,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH1_MONSTER_HUNT_01,2,,1,,4,,,Dungeon,300,,,,,24,,3042,TID_CH1_MONSTER_HUNT_01,DungeonDark,SpookyForest,scene/w02_ch01_monster_hunt_02.json,,sc/ui.sc#mapbg_w02_arena01,Beetle,4,15,,,1,,,,240,240,,,,,,3,,100,500,10000,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
