Name,OrderNumber,TID,GraphicsAsset,IconAsset,Scale,CollectEffect,CollectEffect2,CollectEffect3,SpawnedEffect,LootingStartedEffect,TouchGroundEffect,Rarity,LoopingEffect,Type,UnlockXpLevel,CostMultiplierForGearUpgrade,DustPerUnit,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap11,Cap12,Cap13,Cap14,Cap15,Cap16,Cap17,Cap18,Cap19,Cap20,Cap21,Cap22,Cap23,Cap24,Cap25,Cap26,Cap27,Cap28,Cap29,Cap30,Cap31,Cap32,Cap33,Cap34,Cap35,Cap36,Cap37,Cap38,Cap39,Cap40,Cap41,Cap42,Cap43,Cap44,Cap45,Cap46,Cap47,Cap48,Cap49,Cap50,Cap51,Cap52,Cap53,Cap54,Cap55,Cap56,Cap57,Cap58,Cap59,Cap60,Cap61,Cap62,Cap63,Cap64,Cap65,Cap66,Cap67,Cap68,Cap69,Cap70,Cap71,Cap72,Cap73,Cap74,Cap75,Cap76,Cap77,Cap78,Cap79,Cap80,Cap81,Cap82,Cap83,Cap84,Cap85,Cap86,Cap87,Cap88,Cap89,Cap90,Cap91,Cap92,Cap93,Cap94,Cap95,Cap96,Cap97,Cap98,Cap99,Cap100,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul
Recipe,,,sc3d/resources.glb#icon_object_powergem,sc/ui.sc#icon_blueprint,100,fmod_studio_sounds/items/blueprint_collect,,,fmod_studio_sounds/items/blueprint_spawn,fmod_studio_sounds/items/collectible_looting_started,,,fx/effect/loot_epic,Recipe,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueprint,,TID_BLUEPRINT,sc3d/character_resources.glb#stolen_plan,sc/ui.sc#icon_blueprint,100,fmod_studio_sounds/items/blueprint_collect,,,fmod_studio_sounds/items/blueprint_spawn,fmod_studio_sounds/items/collectible_looting_started,,,fx/effect/loot_epic,Blueprint,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount,,TID_BLUEPRINT,sc3d/character_resources.glb#ride,sc/ui.sc#icon_blueprint,100,fmod_studio_sounds/items/blueprint_collect,,,fmod_studio_sounds/items/blueprint_spawn,fmod_studio_sounds/items/collectible_looting_started,,,fx/effect/loot_epic,Mount,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimerSpeedUp,,TID_TIMER_SPEEDUP,sc3d/character_resources.glb#lost_design,sc/ui.sc#icon_resource_energy,60,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,,,fx/effect/ps_loot_aura_generic_01,Meta,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonSkin,,,sc3d/character_resources.glb#lost_design,sc/ui.sc#icon_res_Lost_design,100,fmod_studio_sounds/items/blueprint_collect,,,fmod_studio_sounds/items/blueprint_spawn,fmod_studio_sounds/items/collectible_looting_started,,,fx/effect/loot_epic,Skin,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RareSkin,,,sc3d/character_resources.glb#lost_design,sc/ui.sc#icon_res_Lost_design,100,fmod_studio_sounds/items/blueprint_collect,,,fmod_studio_sounds/items/blueprint_spawn,fmod_studio_sounds/items/collectible_looting_started,,,fx/effect/loot_epic,Skin,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EpicSkin,,,sc3d/character_resources.glb#lost_design,sc/ui.sc#icon_res_Lost_design,100,fmod_studio_sounds/items/blueprint_collect,,,fmod_studio_sounds/items/blueprint_spawn,fmod_studio_sounds/items/collectible_looting_started,,,fx/effect/loot_epic,Skin,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrinterEnergy,,,sc3d/resources.glb#icon_object_blueprint,sc/ui.sc#icon_energy,60,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,,,,Meta,,,1000,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuestSpawner,,TID_QUEST_SPAWNER,sc3d/resources.glb#icon_object_blueprint,sc/ui.sc#icon_quest_scroll,60,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,,,,Meta,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PotionElixir,,,sc3d/resources.glb#icon_object_blueprint,sc/ui.sc#smoothie_pulp,60,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,,,,Meta,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParagonPoint,,,sc3d/resources.glb#icon_object_blueprint,sc/ui.sc#elite_hunter_token,60,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,,,,Meta,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XpPoint,,TID_XP_POINT,sc3d/resources.glb#icon_object_blueprint,sc/ui.sc#icon_xp_fly,60,fmod_studio_sounds/items/xp_collect_particle,,fmod_studio_sounds/items/ps_collect_xp_globe_01,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/xp_looting_started,,,fx/effect/ps_loot_orb_loop_01,Meta,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XpDropSmall,,TID_PANDORA_XP,sc3d/character_resources.glb#icon_xp_globe,sc/ui.sc#icon_res_dragonlingraidboss1_base,38,fx/effect/ps_collect_xp_globe_01,fmod_studio_sounds/items/xp_small_collect,fmod_studio_sounds/items/ps_collect_xp_globe_01,fx/effect/ps_xp_globe_trail_small_01,fmod_studio_sounds/items/xp_small_magnet,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_orb_loop_01,XpSmall,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XpDropBig,,,sc3d/character_resources.glb#icon_xp_globe,sc/ui.sc#icon_res_dragonlingraidboss1_base,60,fx/effect/ps_collect_xp_globe_big_01,fmod_studio_sounds/items/xp_big_collect,fmod_studio_sounds/items/ps_collect_xp_globe_big_01,fx/effect/ps_xp_globe_trail_big_01,fmod_studio_sounds/items/xp_big_magnet,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_orb_loop_big_02,XpBig,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XpDropHuge,,,sc3d/character_resources.glb#icon_xp_globe,sc/ui.sc#icon_res_dragonlingraidboss1_base,90,fx/effect/ps_collect_xp_globe_huge_01,fmod_studio_sounds/items/xp_huge_collect,fmod_studio_sounds/items/ps_collect_xp_globe_huge_01,fx/effect/ps_xp_globe_trail_huge_01,fmod_studio_sounds/items/xp_huge_magnet,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_orb_loop_huge_02,XpHuge,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuestChest,,,sc3d/resource_chest_03.glb,,60,,,fmod_studio_sounds/items/chest_collect_jingle,,fmod_studio_sounds/items/chest_looting_started,,,fx/effect/resource_epic,Chest,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coin,,TID_COINS,sc3d/character_resources.glb#printer_cube,sc/ui.sc#icon_resource_coin,60,fx/effect/ps_loot_collect_big_01,fmod_studio_sounds/items/ps_moco_coin_collect_sound_01,,fmod_studio_sounds/items/moco_coin_spawn,fmod_studio_sounds/items/collectible_looting_started_moco_coin,fx/effect/ps_loot_common_drop_01,,,Resource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource1,1,TID_MONSTER_ESSENCE,,sc/ui.sc#event_generic,100,fx/effect/ps_collect_event_token_01,fmod_studio_sounds/items/xp_huge_collect,,fx/effect/ps_ko_event_globe_01,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_ko_event_drop_01,,fx/effect/ps_ko_event_drop_idle_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource2,1,TID_MONSTER_ESSENCE_02,,sc/ui.sc#event_pvp_point,100,fx/effect/ps_ko_event_globe_collect_02,,,fx/effect/ps_ko_event_globe_02,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_ko_event_drop_02,,fx/effect/ps_ko_event_drop_idle_02,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource3,1,TID_MONSTER_ESSENCE,,sc/ui.sc#event_rubber_duck,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource4,1,TID_MONSTER_ESSENCE,,sc/ui.sc#event_sunglasses,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvpPoint,,TID_RESOURCE_PVPPOINT,,sc/ui.sc#icon_res_w01_greed,80,fx/effect/ps_ko_pvp_globe_collect_01,fmod_studio_sounds/items/pvp_point_collect,,fx/effect/ps_ko_pvp_globe_01,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_ko_pvp_globe_touch_ground_01,,fx/effect/ps_ko_pvp_globe_idle_01,PvpPoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkinToken,,TID_SKIN_TOKEN,sc3d/skin_token.glb ,sc/ui.sc#icon_skin_token,120,ps_moco_coin_collect_01,fmod_studio_sounds/items/ps_moco_coin_collect_sound_01,fmod_studio_sounds/items/ps_collect_xp_globe_huge_01,fx/effect/ps_moco_coin_trail_01,,fx/effect/ps_loot_common_drop_01,,,Resource,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JobChestPoint,1,TID_RESOURCE_DRAGONLINGBOSSCHARGER,sc3d/character_resources.glb#alpha_charger_horn,sc/ui.sc#icon_res_alpha_charger_horn,60,fx/effect/ps_loot_collect_big_01,,,,fmod_studio_sounds/items/collectible_looting_started_epic,fx/effect/ps_loot_rare_drop_01,Epic,,Meta,4,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,
PremiumJobChestPoint,1,TID_RESOURCE_DRAGONLINGBOSSCHARGER,sc3d/character_resources.glb#alpha_charger_horn,sc/ui.sc#icon_res_alpha_charger_horn,60,fx/effect/ps_loot_collect_big_01,,,,fmod_studio_sounds/items/collectible_looting_started_epic,fx/effect/ps_loot_rare_drop_01,Epic,,Meta,4,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,
Tombstone,,,,,80,,,,fmod_studio_sounds/items/tombstone_spawn,,fmod_studio_sounds/items/tombstone_drop,,fx/effect/ps_tombstoe_ghost_01,Tombstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource5,1,TID_MONSTER_ESSENCE,sc3d/event_resources_geo.glb#pulp,sc/ui.sc#smoothie_pulp,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_generic_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource6,1,TID_MONSTER_ESSENCE,sc3d/event_resources_geo.glb#resource_1,sc/ui.sc#icon_event_resource_1,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_generic_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource7,1,TID_MONSTER_ESSENCE,sc3d/event_resources_geo.glb#resource_2,sc/ui.sc#icon_event_resource_2,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_generic_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource8,1,TID_MONSTER_ESSENCE,sc3d/event_resources_geo.glb#resource_4,sc/ui.sc#icon_event_resource_4,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_generic_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource9,1,TID_MONSTER_ESSENCE,sc3d/event_resources_geo.glb#resource_5,sc/ui.sc#icon_event_resource_5,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_generic_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource10,1,TID_MONSTER_ESSENCE,sc3d/event_resources_geo.glb#resource_6,sc/ui.sc#icon_event_resource_6,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_generic_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventDropResource11,1,TID_MONSTER_ESSENCE,sc3d/event_resources_geo.glb#resource_7,sc/ui.sc#icon_event_resource_7,100,fmod_studio_sounds/items/generic_collect,,,fmod_studio_sounds/items/collectible_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_generic_01,EventDropResource,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
