Level,Gearscore,Gearscore_Powerstone_S1,Gearscore_Powerstone_S2
391,7691,9251,6393
392,7691,9270,6406
393,7691,9289,6418
394,7691,9307,6431
395,7691,9326,6444
396,7691,9344,6456
397,7691,9363,6469
398,7691,9381,6481
399,7691,9400,6494
400,7691,9418,6507
