Name,Actions,Type,Label,Category,GameState,ServerState,SpecialState,Platform,KeyCode,CtrlKey,AltKey,EnableContinuousPresses,Disabled,CreatorBuildEnabled
BetaHasEndedLoginFailedDialog,BetaHasEndedLoginFailedDialog,Default,Beta End Login Failed Dialog,Misc,Home,,,,,,,,,
DeeplinkPlayer,DeeplinkPlayer,Default,Open Player Deeplink,Misc,Home,,,,,,,,,
DeeplinkPlayerError,DeeplinkPlayerError,Default,Open Player Deeplink Error,Misc,Home,,,,,,,,,
DeeplinkTest,DeeplinkTest,Default,Test Deeplink,Misc,Home,,,,,,,,,
DeeplinkScanQR,DeeplinkScanQR,Default,Scan a QR Code,Misc,Home,,,,,,,,,
SetSupportedCreator,SetSupportedCreator,Default,Set a supported creator,Misc,Home,,,,,,,,,
DeeplinkTestFromClipboard,DeeplinkTestFromClipboard,Default,Test Deeplink from Clipboard,Misc,Home,,,,D,TRUE,,,,
DeeplinkTestSpellfactory,DeeplinkTestSpellfactory,Default,Test Spellfactory,Misc,Home,,,,,,,,,
DeeplinkTestInvite,DeeplinkTestInvite,Default,Test Invite,Misc,Home,,,,,,,,,
ToggleInvitesLeft,ToggleInvitesLeft,Default,Toggle Invites Left,Misc,Home,Offline,,,,,,,,
ClearInvite,ClearInvite,Default,Clear Invite,Misc,Home,,,,,,,,,
TestNativePopup,TestNativePopup,Default,Test Native popup,Misc,Home,Offline,,,,,,,,
OutOfSync,OutOfSync,Command,Out of Sync,Misc,Home,Online,,,,,,,,
TestDebuggerError,TestDebuggerError,Default,Test Debugger::error,Misc,Home,,,,,,,,,
PlayLocalVideo,PlayLocalVideo,Default,Play local Video,Misc,Home,,,,,,,,,
PlayOnlineVideo,PlayOnlineVideo,Default,Play online Video,Misc,Home,,,,,,,,,
PauseHome,TogglePause,Selectable,Pause (CTRL+P),Misc,Home,,,,,,,,,
PauseBattleOffline,TogglePause,Selectable,Pause (CTRL+P),Misc,Battle,Offline,,,,,,,,
StepOneFrameHome,StepOneFrame,Default,Step one Frame (SHIFT+P),Misc,Home,,,,,,,,,
StepOneFrameBattleOffline,StepOneFrame,Default,Step one Frame (SHIFT+P),Misc,Battle,Offline,,,,,,,,
SetSpeedHome,SetSpeed,Tune,Update Speed,Misc,Home,,,,,,,,,
SetSpeedBattleOffline,SetSpeed,Tune,Update Speed,Misc,Battle,Offline,,,,,,,,
ToggleBattleMegaSpeedHome,BattleMegaSpeed,Default,Battle Mega Speed,Misc,Home,,,,M,TRUE,,,,
Toggle5XSpeedHome,Toggle5XSpeed,Selectable,Toggle 5x speed,Misc,Home,,,,Q,TRUE,,,,
Toggle5XSpeedBattleOffline,Toggle5XSpeed,Selectable,Toggle 5x speed,Misc,Battle,Offline,,,Q,TRUE,,,,
ToggleZoomInCamera,ToggleZoomInCamera,Default,Toggle Zoom In,Misc,,,,,Z,,TRUE,,,
ToggleSelfhelp,ToggleSelfhelp,Default,Toggle Selfhelp,Misc,,,,,,,,,,
,,,,,,,,,,,,,,
ToggleBoombox,ToggleBoombox,Default,Toggle boombox,News,,,,,,,,,,
,,,,,,,,,,,,,,
ParagonPurchaseConfirmScreenXp,ParagonPurchaseConfirmScreenXp,Default,+x,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenXn,ParagonPurchaseConfirmScreenXn,Default,-x,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenYp,ParagonPurchaseConfirmScreenYp,Default,+y,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenYn,ParagonPurchaseConfirmScreenYn,Default,-y,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenZp,ParagonPurchaseConfirmScreenZp,Default,+z,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenZn,ParagonPurchaseConfirmScreenZn,Default,-z,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenCosP,ParagonPurchaseConfirmScreenCosP,Default,+cos,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenCosN,ParagonPurchaseConfirmScreenCosN,Default,-cos,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenSinP,ParagonPurchaseConfirmScreenSinP,Default,+sin,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenSinN,ParagonPurchaseConfirmScreenSinN,Default,-sin,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenSpeedP,ParagonPurchaseConfirmScreenSpeedP,Default,+speed,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenSpeedN,ParagonPurchaseConfirmScreenSpeedN,Default,-speed,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenStartAngleP,ParagonPurchaseConfirmScreenStartAngleP,Default,+start angle,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenStartAngleN,ParagonPurchaseConfirmScreenStartAngleN,Default,-start angle,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenMaxAngleP,ParagonPurchaseConfirmScreenMaxAngleP,Default,+max angle,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
ParagonPurchaseConfirmScreenMaxAngleN,ParagonPurchaseConfirmScreenMaxAngleN,Default,-max angle,PAR CONF SCREEN,Home,Offline,,Desktop,,,,,,
,,,,,,,,,,,,,,
LevelUp,LevelUp,Command,Level Up,Progress,Home,,,,,,,,,
LevelIUpShowPopup,LevelUpShowPopup,Command,Level Up Show Popup,Progress,Home,,,,L,TRUE,,,,
AddIngredients,AddIngredients,Command,"Add Ingredients, Skin Tokens and Chaos Cubes",Progress,Home,,,,I,,,,,
AddIngredientsWithCaps,AddIngredientsWithCaps,Command,Add Ingredients (respect caps),Progress,Home,,,,C,,,,,
AddOneOfEachIngredients,AddOneOfEachIngredients,Command,Add One of Each Ingredient,Progress,Home,,,,I,TRUE,,,,
RemoveIngredients,RemoveIngredients,Command,Remove Ingredients,Progress,Home,,,,V,,TRUE,,,
AddDiamonds,AddDiamonds,Command,Add mo.coins,Progress,Home,,,,,,,,,
RemoveDiamonds,RemoveDiamonds,Command,Remove mo.coins,Progress,Home,,,,,,,,,
IncreaseXP,IncreaseXp,Command,Increase XP,Progress,Home,,,,,,,,,
UpgradeAllGear,UpgradeAllGear,Command,Upgrade All Gear,Progress,Home,,,,G,,,,,
UpgradeToMax,LevelUpToParagon,Command,Upgrade All to Max,Progress,Home,,,,Q,,,,,
,MaxGearForCurrentLevel,,,,,,,,,,,,,
,SetTutorialAndMissionsDisabled,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MakeOneUpgrade,MakeOneUpgrade,Command,Make One Upgrade,Progress,Home,,,,U,,,,,
IncreaseAchievementProgress,IncreaseAchievementProgress,Command,Increase Achievement Progress,Progress,Home,,,,,,,,,
IncreasePriorityParagonAchievementProgress,IncreasePriorityParagonAchievementProgress,Command,Increase Priority Paragon Achievement Progress,Progress,Home,,,,,,,,,
IncreaseParagonAchievementProgress,IncreaseParagonAchievementProgress,Command,Increase Paragon Achievement Progress,Progress,Home,,,,,,,,,
IncreasePCEProgress,IncreasePCEProgress,Command,Increase PCE Progress (+1),Progress,Home,,,,,,,,,
IncreasePCEProgressALot,IncreasePCEProgressALot,Command,Increase PCE Progress (+100),Progress,Home,,,,,,,,,
ClearPCEPremium,ClearPCEPremium,Command,Clear PCE Premium,Progress,Home,,,,,,,,,
UnlockClosedBeta1Content,UnlockClosedBeta1Content,Command,Unlock all closed beta 1 content,Progress,Home,,,,,,,,,
UnlockEnabledSkins,UnlockEnabledSkins,Command,Unlock all enabled skins,Progress,Home,,,,,,,,,
GenerateDailyMissions,GenerateDailyMissions,Command,Generate Daily Missions,Progress,Home,,,,,,,,,
ClearDailyMissions,ClearDailyMissions,Command,Clear Daily Missions,Progress,Home,,,,J,,,,,
CompleteDailyMissions,CompleteDailyMissions,Command,Complete Daily Missions,Progress,Home,,,,,,,,,
ClearMainMissions,ClearMainMissions,Command,Clear Main Missions,Progress,Home,,,,,,,,,
CompleteMainMissions,CompleteMainMissions,Default,Complete Main Missions,Progress,Home,,,,C,TRUE,,,,
DonateBlueprints,DonateBlueprints,Command,Donate blueprints up to current xplvl,Progress,Home,,,,,,,,,
DonatePowerGems,DonatePowerGems,Command,Donate power gems,Progress,Home,,,,,,,,,
DonateConsumableRecipes,DonateConsumableRecipes,Command,Donate consumables recipes,Progress,Home,,,,,,,,,
DonateConsumableCharges,DonateConsumableCharges,Command,Donate consumables charges,Progress,Home,,,,,,,,,
DonateEndgameGear,DonateEndgameGear,Command,Donate endgame gear,Progress,Home,,,,,,,,,
AddCoins,AddCoins,Command,Add Chaos Cubes,Progress,Home,,,,,,,,,
RemoveCoins,RemoveCoins,Command,Remove Chaos Cubes,Progress,Home,,,,,,,,,
AddSkinTokens,AddSkinTokens,Command,Add Skin Tokens,Progress,Home,,,,,,,,,
RemoveSkinTokens,RemoveSkinTokens,Command,Remove Skin Tokens,Progress,Home,,,,,,,,,
AddParagonTokens,AddParagonTokens,Command,Add Paragon Tokens,Progress,Home,,,,,,,,,
RemoveParagonTokens,RemoveParagonTokens,Command,Remove Paragon Tokens,Progress,Home,,,,,,,,,
MaxGearForCurrentLevel,MaxGearForCurrentLevel,Command,Max Gear For Current Level,Progress,Home,,,,,,,,,
RegenerateDailyFreebie,RegenerateDailyFreebie,Command,Regenerate daily freebie,Progress,Home,,,,,,,,,
ToggleTutorialAndMissions,ToggleTutorialAndMissions,Command,Toggle tutorial & missions,Progress,Home,,,,T,,,,,
CompleteInitialTutorial,CompleteInitialTutorial,Command,Complete Initial Tutorial,Progress,Home,,,,T,,TRUE,,,
NextTutorialStep,NextTutorialStep,Command,Next Tutorial Step,Progress,Home,,,,T,TRUE,,,,
,,,,,,,,,,,,,,
SwitchGameSceneResolutionScale,SwitchGameSceneResolutionScale,Default,Switch scene resolution,Render,,,,,,,,,,
ToggleWireframeRendering,ToggleWireframeRendering,Selectable,Wireframe,Render,,,,,,,,,,
ToggleOcclusionCulling,ToggleOcclusionCulling,Selectable,Occlusion culling,Render,,,,,,,,,,
ToggleOptimizeOccluders,ToggleOptimizeOccluders,Selectable,Optimize occluders,Render,,,,,,,,,,
ToggleColorOccludedObjects,ToggleColorOccludedObjects,Selectable,Color occluded objects,Render,,,,,,,,,,
ToggleDebugDrawOccluders,ToggleDebugDrawOccluders,Selectable,Draw occluders,Render,,,,,,,,,,
ToggleDynamicShadowmap,ToggleDynamicShadowmap,Selectable,Dynamic shadowmap,Render,,,,,,,,,,
ToggleStaticShadowmap,ToggleStaticShadowmap,Selectable,Static shadowmap,Render,,,,,,,,,,
ToggleStaticShadowmapWorkaround,ToggleStaticShadowmapWorkaround,Selectable,Static shadowmap workaround,Render,,,,,,,,,,
ToggleDynamicLights,ToggleDynamicLights,Selectable,Dynamic lights,Render,,,,,,,,,,
ToggleCharacterImpostors,ToggleCharacterImpostors,Selectable,Character impostors,Render,,,,,,,,,,
SetDrawCallReduction,SetDrawCallReduction,Tune,Draw call reduction,Render,,,,,,,,,,
SetEffectAlphaDefault,SetEffectAlphaDefault,Tune,VFX alpha default,Render,,,,,,,,,,
