Name,IconAsset,NPCCountPercent,NPCSpawnFrequencySec,MinimumBlockedSeconds,NPC,Pets,PetCount,Level,SummonLevel,Resource,ChestIndex,PatrolChance,TargetZone,TargetZone2,IsAmbush,AmbushOverride,AmbushDistanceTiles,AmbushDelaySeconds,AmbushHeightOverride,EliteChance,MegaEliteChance,SpawnFrequencyOffsetSeconds,SpawnChancePercent,NPCWeight,IgnoreOtherCharactersOnSpawn,IgnoreLootScreen,AggroRequirement,Tag,ForceSpawnOtherZonesDistance,ForceSpawnEnemiesMinCount,ForceSpawnEnemiesMaxCount,MultipleSpawnsChancePermille,MultipleSpawnsMinCount,MultipleSpawnsMaxCount,PatrolPickupRadius,PatrolPickupMinCount,PatrolPickupMaxCount
Ambush2,sc/editor.sc#zone_21,,5,300,BeetleWeakMelee,,,40,,,,,,,TRUE,,5,,,,,,50,1,TRUE,,,,,,,,,,4,10,10
BossAmbush,sc/editor.sc#zone_21,,5,300,DragonlingBossMedium,,,12,,,,,,,TRUE,,5,,,,,,10,1,TRUE,,,,,,,,,,4,10,10
BossAmbush2,sc/editor.sc#zone_21,,5,300,BeetleBossEasy,,,8,,,,,,,TRUE,,5,,,,,,10,1,TRUE,,,,,,,,,,4,10,10
DragonlingDungeonBossAmbush,sc/editor.sc#zone_21,,5,20,DragonlingWeakMelee,,,12,,,,,,,TRUE,,5,,,,,,50,1,TRUE,,,,,,,,,,4,10,10
BeetleEscort,sc/editor.sc#zone_21,30,60,60,BeetleEscort,,,1,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleDungeonBossAmbush,sc/editor.sc#zone_21,,5,10,BeetleWeakMelee,,,40,,,,,,,TRUE,,5,,,,,,30,1,TRUE,,,,,,,,,,4,10,10
OneTimeChest1,sc/editor.sc#zone_21,,,,,,,1,,GemChest,0,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest2,sc/editor.sc#zone_21,,,,,,,1,,GemChest,1,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest3,sc/editor.sc#zone_21,,,,,,,1,,GemChest,2,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest4,sc/editor.sc#zone_21,,,,,,,1,,GemChest,3,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest5,sc/editor.sc#zone_21,,,,,,,1,,GemChest,4,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest6,sc/editor.sc#zone_21,,,,,,,1,,GemChest,5,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest7,sc/editor.sc#zone_21,,,,,,,1,,GemChest,6,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest8,sc/editor.sc#zone_21,,,,,,,1,,GemChest,7,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest9,sc/editor.sc#zone_21,,,,,,,1,,GemChest,8,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OneTimeChest10,sc/editor.sc#zone_21,,,,,,,1,,GemChest,9,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest1,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,0,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest2,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,1,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest3,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,2,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest4,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,3,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest5,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,4,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest6,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,5,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest7,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,6,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest8,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,7,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest9,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,8,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
W02OneTimeChest10,sc/editor.sc#zone_21,,,,,,,1,,W02GemChest,9,,,,,,5,,,,,,100,,TRUE,TRUE,,,,,,,,,4,10,10
OnlyDragonlingCharger,sc/editor.sc#zone_3,100,10,30,DragonlingStrongCharger,,,16,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingStrongJumperSmall,sc/editor.sc#zone_3,100,10,30,DragonlingStrongJumperSmall,,,2,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
OnlyBeetleStrongMelee,sc/editor.sc#zone_2,100,10,30,BeetleStrongMelee,,,20,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
OnlyBeetleDasher,sc/editor.sc#zone_2,100,10,30,BeetleWeakDasher,,,25,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingStrongMelee,sc/editor.sc#zone_21,100,10,30,DragonlingStrongMelee,,,16,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingStrongSniper,sc/editor.sc#zone_21,100,10,30,DragonlingStrongSniper,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingBossHard,sc/editor.sc#zone_21,100,40,30,DragonlingBossHard,,,30,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingDungeonBoss2,sc/editor.sc#zone_21,100,20,120,DragonlingDungeonBoss2,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingDungeonBoss3,sc/editor.sc#zone_21,100,20,120,DragonlingDungeonBoss3,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingRaidBoss2,sc/editor.sc#zone_21,100,50,30,DragonlingRaidBoss2,,,16,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleStrongTunneler,sc/editor.sc#zone_21,100,10,30,BeetleStrongTunneler,,,45,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleBossHard,sc/editor.sc#zone_21,100,40,30,BeetleBossHard,,,40,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleDungeonBoss2,sc/editor.sc#zone_21,100,20,120,BeetleDungeonBoss2,,,30,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleDungeonBoss3,sc/editor.sc#zone_21,100,20,120,BeetleDungeonBoss3,,,60,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleRaidBoss1,sc/editor.sc#zone_21,100,50,30,BeetleBossQueen,,,65,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleRaidBoss2,sc/editor.sc#zone_21,100,50,30,BeetleBossQueenPhase2,,,65,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
Arena1_10,sc/editor.sc#zone_21,100,5,0,DragonlingWeakMeleeSmall,,,10,,,,,,,,,5,,,,,,100,1,,,,,,,,1000,3,3,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingStrongJumper,,,16,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleWeakMeleeSmall,,,8,,,,,,,,,5,,,,,,,1,,,,,,,,1000,6,6,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena2_10,sc/editor.sc#zone_21,100,5,0,DragonlingWeakRangedSmall,,,10,,,,,,,,,5,,,,,,100,1,,,,,,,,1000,1,1,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingWeakRangedSmall,,,10,,,,,,,,,5,,,,,,,1,,,,,,,,1000,1,1,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleWeakRangedSmall,,,8,,,,,,,,,5,,,,,,,1,,,,,,,,1000,2,2,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena3_10,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleWeakMeleeSmall,,,8,,,,,,,,,5,,,,,,,1,,,,,,,,1000,3,3,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena4_3,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingStrongSlammer,,,13,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleStrongKnight,,,12,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena5_3,sc/editor.sc#zone_21,100,5,0,DragonlingStrongJumper,,,16,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
,,,120,,DragonlingStrongSlammer,,,13,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleWeakMeleeSmall,,,8,,,,,,,,,5,,,,,,,1,,,,,,,,1000,6,6,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena6_3,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingStrongSlammer,,,13,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleWeakRangedSmall,,,8,,,,,,,,,5,,,,,,,1,,,,,,,,1000,2,2,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena7_1,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleBossEasy,,,20,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
Arena8_1,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena9_1,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingStrongJumper,,,16,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,BeetleStrongRanged,,,15,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,BeetleStrongKnight,,,15,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
Arena10_1,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingStrongSlammer,,,13,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena11_1,sc/editor.sc#zone_21,100,5,0,DragonlingEscort,,,1,,,,,,,,,5,,,,,,100,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingBossEasy,,,10,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
VaultEvent,sc/editor.sc#zone_21,25,30,30,BeetleVault,,,8,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
GobEliteAmbush,sc/editor.sc#zone_21,,5,200,DragonlingWeakMelee,,,12,,,,,,,TRUE,,5,,,,,,50,3,TRUE,,,,,,,,,,,,
,,,,,DragonlingWeakRanged,,,12,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
DragonlingMinesStrong,sc/editor.sc#zone_2,60,10,30,DragonlingStrongCharger,,,16,,,,,,,,,5,,,,,,100,2,,,,,,,,,,,,,
,,,,,DragonlingStrongJumper,,,8,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,
,,,,,DragonlingStrongSniper,,,35,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,
,,,,,DragonlingStrongHealer,,,35,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
Goblinmixed,sc/editor.sc#zone_0,60,4,30,DragonlingWeakMelee,,,12,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
,,,,,DragonlingWeakRanged,,,12,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
BeetleRetreating,sc/editor.sc#zone_0,30,30,60,RetreatingBeetle,,,8,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
DragonlingMeleeElite,sc/editor.sc#zone_0,50,4,30,DragonlingWeakMelee,,,12,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
DragonlingRangedElite,sc/editor.sc#zone_1,50,4,30,DragonlingWeakRanged,,,12,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
VaultBeetleRegular,sc/editor.sc#zone_1,0,60,10,BeetleWeakRanged,,,40,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
,,,,,BeetleWeakMelee,,,40,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
VaultBeetleHard,sc/editor.sc#zone_1,0,60,10,BeetleStrongMelee,,,20,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
,,,,,BeetleWeakDasher,,,25,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
VaultBeetleBoss,sc/editor.sc#zone_1,0,60,10,BeetleBossEasy,,,8,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
LivingWeapon,sc/editor.sc#zone_5,60,4,60,LivingWeapon,,,30,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
BeetleDungeon2RegularAmbush,sc/editor.sc#zone_0,,5,30,BeetleWeakMelee,,,40,,,,,,,TRUE,,5,,,,,,5,3,TRUE,,,,,,,,,,,,
,,,,,BeetleWeakRanged,,,40,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,
,,,,,BeetleStrongMelee,,,20,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
BeetleDungeonAmbush,sc/editor.sc#zone_21,,5,300,BeetleWeakMelee,,,40,,,,,,,TRUE,,5,,,,,,50,1,TRUE,,,,,,,,,,,,
BeetleOA4Ambush,sc/editor.sc#zone_21,,5,60,BeetleStrongMelee,,,20,,,,,,,TRUE,,5,,,,,,40,1,TRUE,,,,,,,,,,,,
,,,,,BeetleWeakDasher,,,25,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,,,BeetleWeakMelee,,,40,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,
,,,,,BeetleWeakRanged,,,40,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,
DragonlingFriendlySoldier,sc/editor.sc#zone_21,30,10,120,DragonlingFriendlySoldier,,,1,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
PortalAmbushRaid1BossJumper,sc/editor.sc#zone_21,,5,90,DragonlingRaidBoss1,,,25,,,,,,,TRUE,,5,,,,,,20,1,TRUE,,,,,,,,,,,,
,,,,,DragonlingBossHard,,,30,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,,,BeetleDungeonBoss,,,12,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,,,BeetleDungeonBoss2,,,30,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
Dungeon1Ambush,sc/editor.sc#zone_21,,5,300,DragonlingWeakMelee,,,12,,,,,,,TRUE,,5,,,,,,15,1,TRUE,,,,,,,,,,,,
BeetleFriendlySoldier,sc/editor.sc#zone_21,30,10,30,BeetleFriendlySoldier,,,1,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arena21_10,sc/editor.sc#zone_21,100,5,0,BeetleWeakDasher,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingStrongWhelp,,,35,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
Arena22_10,sc/editor.sc#zone_21,100,5,0,BeetleWeakDasher,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
,,,120,,DragonlingStrongWhelp,,,35,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
,,,120,,DragonlingEscort,,,1,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,
